method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
convenience,0,0.4838641572377282,0.47791269221488264,0.784688995215311,7.651936276278077,0.7038892512438337,5
mdp,0,0.6553839572820854,0.19536281403403358,0.43301435406698563,11.70944942967723,0.3117428226990704,5
random,0,1.003631359131808,0.5132380975145662,0.7942583732057417,8.59353031590826,0.6267157481980578,5
random,1,0.8765042476286599,0.5276098061248572,0.8014354066985646,8.441675025629644,0.6391043992446432,5
random,2,0.9530893894258836,0.39734430686329864,0.7272727272727273,7.735461367665442,0.6988661605686904,5
random,3,0.8238365397641553,0.5313622290531554,0.8038277511961722,8.221728080665814,0.6559981558671802,5
random,4,0.9996118028371224,0.5367325228749273,0.7966507177033493,8.742578376192712,0.5878590573843875,5
random,5,1.0944228651562053,0.4312876116358273,0.7368421052631579,7.870978727222789,0.6711864820522981,5
random,6,0.9932226282270291,0.486110838026597,0.7727272727272727,8.15444929476365,0.6593896940452127,5
random,7,0.9361672129707781,0.512658441779011,0.7870813397129187,8.607015572775264,0.6129678779565346,5
random,8,1.0621395705330134,0.422578952509633,0.7272727272727273,8.048760565778112,0.6514275093399123,5
random,9,0.925273358439435,0.46286105161277197,0.7631578947368421,8.170110952112925,0.6462000659005416,5
mmdp,0,0.9761855662313168,0.3091436802819442,0.6363636363636364,11.231305492370936,0.3924643909859779,5
random_family,0,0.7340701180522766,0.5324625665136673,0.8133971291866029,8.093676096408524,0.6485385616788695,5
random_family,1,0.8020033790417013,0.5335273874122346,0.8086124401913876,8.25858680207742,0.6558738624698317,5
random_family,2,0.8444821919848234,0.5179593432563877,0.7966507177033493,8.010034682634982,0.6779753234730141,5
random_family,3,1.0084962167272125,0.5142509600111437,0.7870813397129187,8.647305263396541,0.6221064417257148,5
random_family,4,0.7140305486991292,0.4845718701911137,0.784688995215311,7.8057834949709415,0.7102116240365243,5
random_family,5,1.0047272893018817,0.48829637093783645,0.777511961722488,8.423128704714745,0.6450159989602443,5
random_family,6,0.9706049516496129,0.5281829339976508,0.7990430622009569,8.538431038744218,0.6175292450963447,5
random_family,7,0.9889010430168514,0.5226026569220391,0.8014354066985646,8.484966131717002,0.6138866514943943,5
random_family,8,0.9420171019071001,0.2979122051532851,0.6291866028708134,7.597536597821394,0.6223859208007946,5
random_family,9,0.9825573200665249,0.5120369005161557,0.7918660287081339,8.54335692092698,0.6267653979530415,5
mdp,0,1.2223685395273833,0.6327840818234608,0.8636363636363636,10.262337827385169,0.44977787292208643,10
convenience,0,0.804440134756795,0.5893238873160134,0.868421052631579,8.022857697392318,0.6804940139028895,10
random,0,1.1094972452705474,0.5758441488937271,0.8516746411483254,7.847381162400761,0.680497909424368,10
random,1,1.1830528041294865,0.6094120416504496,0.8708133971291866,8.358324805240043,0.6452432205147683,10
random,2,1.1290515074932037,0.600342891149809,0.8636363636363636,8.424306257979442,0.6133465751107491,10
random,3,1.1931740284871717,0.6099726134487876,0.868421052631579,8.365161403234335,0.6277891017401087,10
random,4,1.0609640892027672,0.6014285294944414,0.8708133971291866,8.218894983658172,0.6569877242172867,10
random,5,1.1141026892968728,0.6232240595543861,0.8851674641148325,8.457401842112604,0.6130591648510275,10
random,6,1.1177847890743198,0.5449246338631097,0.8421052631578947,7.9728197799062475,0.6969622551611344,10
random,7,1.0124016574490522,0.6378989954199257,0.8995215311004785,8.31232569644278,0.6577568283844631,10
random,8,1.1832431963407262,0.6208185790826657,0.8827751196172249,8.645391125185844,0.6190170159112149,10
random,9,1.020708915765961,0.5098789784159318,0.8157894736842105,7.863936718300958,0.6634077226040889,10
mmdp,0,1.253788447948305,0.6540486195756399,0.8732057416267942,10.048382466673559,0.4925338612015764,10
random_genus,0,0.9485639770304759,0.5298108310148615,0.8014354066985646,8.671658472400033,0.6222048861399578,5
random_genus,1,1.060752958521983,0.4446345107827038,0.7464114832535885,8.335207569822925,0.6395482288352838,5
random_genus,2,0.9589847300219712,0.44964816672774416,0.7416267942583732,8.558756634018291,0.619524296290137,5
random_genus,3,0.8776128748976281,0.5611878588736313,0.8301435406698564,8.486646355754914,0.6226693230620315,5
random_genus,4,0.805436172966309,0.4833749347532581,0.7822966507177034,7.6720190078782675,0.6983756074522408,5
random_genus,5,0.9026596685734721,0.46561876253552414,0.7631578947368421,8.085800597625306,0.6555812439584728,5
random_genus,6,1.0260077922394901,0.5195622375812379,0.7799043062200957,8.88332649270412,0.5914181331201875,5
random_genus,7,0.9319786090882722,0.3509060487637008,0.6866028708133971,7.304152278077057,0.7293215836026405,5
